Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam,Kalkinma_Endeksi
Malawi,2014,11.9,2.2,22.77,1930000.0,82.7,0.13,0.0,2.08,94.117645,605.3154,3.38,850.0000238,11.986706828095237,5.700000004,371.2695217,203.0,118484.0,-13.254308,34.301525,0.12373362838444125
Malawi,2015,10.8,2.0,22.42,63510000.0,80.87,0.13,0.0,2.08,94.117645,567.38477,3.37,930.0000072,11.986706828095237,2.8,380.5969877,203.0,118484.0,-13.254308,34.301525,0.12001552587628578
Malawi,2016,11.0,1.8,21.84,350000.0,78.69,0.15,0.0,2.05,93.181816,581.6119,3.36,1120.000005,11.986706828095237,2.484040625,315.7779871,203.0,118484.0,-13.254308,34.301525,0.11806627752227361
Malawi,2017,12.7,1.6,21.66,3860000.0,75.94,0.19,0.0,1.9,90.909096,583.40607,3.32,1190.000057,11.986706828095237,4.000030517,506.1372944,203.0,118484.0,-13.254308,34.301525,0.1176794013605419
Malawi,2018,18.02,1.3,22.14,17150000.0,73.03,0.2,0.0,1.44,87.80488,542.3849,3.28,1379.999995,11.986706828095237,4.391688296,544.5934354,203.0,118484.0,-13.254308,34.301525,0.11933928660117671
Malawi,2019,11.2,1.2,21.94,101610000.0,73.02,0.2,0.0,1.5,88.23529,537.8198,3.18,1450.000048,11.986706828095237,5.448181336,591.8463896,203.0,118484.0,-13.254308,34.301525,0.1141691780586751
Malawi,2020,14.866769,1.0,21.43,94224000.0,32.63816497829233,0.21,0.0,1.5,87.7193,503.25735,5.3073450588901805,159866.46268574602,11.986706828095237,0.799998331,636.8205368,203.0,118484.0,-13.254308,34.301525,0.08878214185386812
Norway,2000,100.0,100.0,113.13749816041205,94224000.0,60.18,0.32,0.0,142.11,99.77533,129255.24,4.27,34290.0,72.39789,3.204979222,38131.46061,15.0,323802.0,60.472024,8.468946,0.3728127489259396
Norway,2001,100.0,100.0,113.13749816041205,94224000.0,59.59,0.42,0.0,120.74,99.65335,116303.484,4.3,34720.0,67.58246,2.074790394,38542.7151,15.0,323802.0,60.472024,8.468946,0.36339063835959107
Norway,2002,100.0,100.0,113.13749816041205,94224000.0,59.47,0.42,0.0,129.7,99.67722,120364.25,3.94,34369.99893,69.30982,1.44625414,43084.47247,15.0,323802.0,60.472024,8.468946,0.36804414744900893
Norway,2003,100.0,100.0,113.13749816041205,94224000.0,56.23,0.56,0.0,106.03,99.474625,105588.055,4.23,37169.99817,63.816036,0.910105664,50134.89077,15.0,323802.0,60.472024,8.468946,0.3603021944689911
Norway,2004,100.0,100.0,113.13749816041205,94224000.0,56.85,0.59,0.0,109.39,99.46354,106903.02,4.3,37340.00015,64.23876,3.96941456,57603.83602,15.0,323802.0,60.472024,8.468946,0.36777066796121627
